title,sdgs
The human gut microbiome and health inequities,SDG 10
Language Education Policies and Inequality in Africa: Cross-National Empirical Evidence,SDG 10
Earnings Inequality and Coordination Costs: Evidence from US Law Firms,SDG 10
Calorie labelling to reduce obesity,SDG 10
Group inequality and the severity of civil conflict,SDG 10
Bold choices: how ethnic inequalities in educational attainment are suppressed,SDG 10
The Spatialization of Racial Inequity and Educational Opportunity: Rethinking the Rural/Urban Divide,SDG 10
How Gender-Sensitive Are Obstetrics and Gynaecology Textbooks?,SDG 10
Spreading the Wealth,SDG 10
EDITORIAL: Global tobacco inequalities: a new frontier,SDG 10
"When Social Inequality Maps to Demographic Diversity, What Then for Liberal Democracies?",SDG 10
How Wealth Inequality Shapes Our Future,SDG 10
Research Framework (pp. 7-10),SDG 10
"Paraísos Fiscales, Wealth Taxation, and Mobility",SDG 10
"Equity and Justice in Developmental Science: Discrimination, Social Exclusion, and Intergroup Attitudes",SDG 10
"The Impact of Tobacco Control Policies on Smoking Among Socioeconomic Groups in Nine European Countries, 1990–2007",SDG 10
"Social Context of Welfare in Manitoba, Canada",SDG 10
CHAPTER FIFTEEN: The Right Way to Be Cay How School Structures Sexual Inequality,SDG 10
An iterative regularization method for variational inequalities in Hilbert spaces,SDG 10
The Differing Effects of Economic Inequality on Black and White Rates of Violence,SDG 10
Finance and Income Inequality: What Do the Data Tell Us?,SDG 10
Appendix 2: Matrix of fiscal policy instruments and design considerations,SDG 10
Militarizing Inequality: A Conceptual Framework,SDG 10
Social Inequality in Urban Philippines,SDG 10
How to breathe,SDG 10
Ethnic Stratification and the Equilibrium of Inequality: Ethnic Conflict in Postcolonial States,SDG 10
REDUCING CLIMATE RISK IN THE POST-2020 EU BUDGET: HOW THE MULTI-ANNUAL FINANCIAL FRAMEWORK CAN MAKE EUROPE SAFER,SDG 10
Appendix 1: Key Policies on Water and Sanitation,SDG 10
Product Markets and Paychecks: Deregulation's Effect on the Compensation Structure in Banking,SDG 10
Twenty Years of Rising Inequality in U.S. Lifetime Labour Income Values,SDG 10
"Why Aren’t We Talking to Each Other?: Thinking Gender, Conflict and Disaster as a Continuum (pp. 168-180)",SDG 10
Persistent High Inequality as an Endogenous Political Process,SDG 10
Local Labor Markets and the Evolution of Inequality,SDG 10
"Intersection of Language, Class, Ethnicity, and Policy: Toward Disrupting Inequality for English Language Learners",SDG 10
RESOURCE STRUCTURALISM AND GENDER ECONOMIC INEQUALITY,SDG 10
Racial Inequality in the Transition to Adulthood After Prison,SDG 10
Inequality: A Cross-National Analysis,SDG 10
Regional aid policies after Brexit,SDG 10
The 1999 Reform of the Polish Education System and its Effects on Social Inequalities in Academic Skills,SDG 10
Income Inequality: New Trends and Research Directions,SDG 10
IMPACT OF THE INTRODUCTION OF MAMMOGRAPHY PROGRAMMES ON SOCIOECONOMIC INEQUALITIES IN BREAST CANCER SCREENING IN SWITZERLAND,SDG 10
FAMILY AND NEIGHBORHOOD SOURCES OF SOCIOECONOMIC INEQUALITY IN CHILDREN'S ACHIEVEMENT,SDG 10
A Fair Game? Racial Bias and Repeated Interaction between NBA Coaches and Players,SDG 10
Global Demographic Convergence? A Reconsideration of Changing Intercountry Inequality in Fertility,SDG 10
Trends of Income Inequality and Polarisation in Pakistan for the Period 1990-2008,SDG 10
"The Double Standard of Success: Narratives of Inequality, Social Mobility, and “Meritocratic Mestizaje” (pp. 121-146)",SDG 10
Exploring inequalities in India through housing overcrowding,SDG 10
"Square Pegs in Round Holes: Inequalities, Grievances, and Civil War",SDG 10
Introduction: Inequality of Economic Opportunity,SDG 10
Group inequality and the severity of civil conflict,SDG 10
"A NEW KUZNETSIAN DYNAMIC: The Knowledge Economy and Income Inequality in the United States, 1917–2008",SDG 10
Distributional effects of transport policies on inequalities in access to opportunities in Rio de Janeiro,SDG 10
"The dynamics of inequality change in a highly dualistic economy: Honduras, 1991-2007 (pp. 25-64)",SDG 10
A HYPOTHESIS ON POVERTY CHANGE IN ALBANIA (2007-2016),SDG 10
"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment",SDG 10
The Dynamics of Income Inequality in Mexico since NAFTA [with Comment],SDG 10
Market Power and Income Taxation,SDG 10
Structural inequities in the global supply of personal protective equipment,SDG 10
Mother's education and the risk of preterm and small for gestational age birth: a DRIVERS meta-analysis of 12 European cohorts,SDG 10
Comparing Inequalities in Oral and General Health: Findings of the Canadian Health Measures Survey,SDG 10
Socioeconomic Inequities in Health Care Utilization in China,SDG 10
"SOCIAL SECURITY WEALTH, INEQUALITY, AND LIFECYCLE SAVING",SDG 10
Quantitative Easing and Inequality: QE impacts on wealth and income distribution in the United States after the Great Recession,SDG 10
"Health Inequities and the Shifting Paradigms of Food Security, Food Insecurity, and Food Sovereignty",SDG 10
Examining the Capacities of Municipal Governments to Reduce Health Inequities: A Survey of Municipal Actors' Perceptions in Metro Vancouver,SDG 10
Austerity Then and Now (pp. 35-76),SDG 10
A family-based model for Iranian women’s health: a grounded theory study,SDG 10
Ethnic Stratification and the Equilibrium of Inequality: Ethnic Conflict in Postcolonial States,SDG 10
REDUCING CLIMATE RISK IN THE POST-2020 EU BUDGET: HOW THE MULTI-ANNUAL FINANCIAL FRAMEWORK CAN MAKE EUROPE SAFER,SDG 10
Appendix 1: Key Policies on Water and Sanitation,SDG 10
Product Markets and Paychecks: Deregulation's Effect on the Compensation Structure in Banking,SDG 10
Twenty Years of Rising Inequality in U.S. Lifetime Labour Income Values,SDG 10
"Why Aren’t We Talking to Each Other?: Thinking Gender, Conflict and Disaster as a Continuum (pp. 168-180)",SDG 10
Persistent High Inequality as an Endogenous Political Process,SDG 10
Local Labor Markets and the Evolution of Inequality,SDG 10
The Effect of Inequality Frames on Support for Redistributive Tax Policies,SDG 10
"Wage stagnation, rising inequality and the financial crisis of 2008",SDG 10
Against Inequality,SDG 10
"Individual Wealth Rank, Community Wealth Inequality, and Self-Reported Adult Poor Health: A Test of Hypotheses with Panel Data (2002-2006) from Native Amazonians, Bolivia",SDG 10
FIRM DYNAMICS AND RESIDUAL INEQUALITY IN OPEN ECONOMIES,SDG 10
Income Inequality and the Veteran Experience,SDG 10
DESIGUALDAD ESPACIAL DE INGRESOS EN CHILE Y SU RELACIÓN CON LA CONCENTRACIÓN DE CAPITAL HUMANO,SDG 10
Territorial Inequality in Health Service Delivery: Lessons from Latin America’s Federations,SDG 10
The ‘Messy’ World of Women and Religious Inequality (pp. 86-90),SDG 10
"Late School Tracking, Less Class Bias in Educational Decision-Making? The Uncertainty Reduction Mechanism and Its Experimental Testing",SDG 10
The Reduced Form of Litigation Models and the Plaintiff’s Win Rate,SDG 10
"The nexus between income inequality, economic growth and environmental degradation in Pakistan",SDG 10
INCOME INEQUALITY AND EUROPEAN PROTEST ACTIVITY,SDG 10
Regional Inequalities and the Electoral Success of Regional Parties: Evidence from the OECD,SDG 10
"The dynamics of inequality change in a highly dualistic economy: Honduras, 1991-2007 (pp. 25-64)",SDG 10
"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment",SDG 10
Appendix 1: Key Policies on Water and Sanitation,SDG 10
"Why Aren’t We Talking to Each Other?: Thinking Gender, Conflict and Disaster as a Continuum (pp. 168-180)",SDG 10
RESOURCE STRUCTURALISM AND GENDER ECONOMIC INEQUALITY,SDG 10
"Square Pegs in Round Holes: Inequalities, Grievances, and Civil War",SDG 10
The Spatialization of Racial Inequity and Educational Opportunity: Rethinking the Rural/Urban Divide,SDG 10
"Paraísos Fiscales, Wealth Taxation, and Mobility",SDG 10
The threshold age of the lifetable entropy,SDG 10
"Socio-spatial factors associated with ethnic inequalities in districts of England and Wales, 2001–2011",SDG 10
DISCRETE HILBERT TYPE INEQUALITY WITH NON-HOMOGENEOUS KERNEL,SDG 10
How much do tumor stage and treatment explain socioeconomic inequalities in breast cancer survival? Applying causal mediation analysis to population-based data,SDG 10
Convergence in Income Inequality Across Australian States and Territories,SDG 10
Income Inequality: The Role of Education / הפערים בישראל: תפקידה של ההשכלה,SDG 10
Absence of socioeconomic inequalities in access to good-quality breast cancer treatment within a population-wide screening programme in Turin (Italy),SDG 10
"ON INEQUALITY, LAW, AND RESIDENTIAL SEGREGATION: ROUSSEAU’S LINKAGES TO CONTEMPORARY SOCIOLOGY",SDG 10
Optimal Isoperimetric Inequalities,SDG 10
